BTLA
CD200
TNFRSF14
NRP1
LAIR1
TNFSF4
CD244
LAG3
ICOS
CD40LG
CTLA4
CD48
CD28
CD200R1
HAVCR2
ADORA2A
CD278
KIR3DL1
CD80
PDCD1
LGALS9
CD160
TNFSF14
IDO2
ICOSLG
TMIGD2
VTCN1
IDO1
PDCD1LD2
HHLA2
TNFSF18
BTNL2
CD70
TNFSF9
TNFRSF8
CD27
TNFRSF25
VSIR
TNFRSF4
CD40
TNFRSF18
TNFSF15
TIGIT
CD274
CD86
CD44
TNFRSF9
