sample	samples	ENSG00000262814.6	_primary_site
GTEX-XUJ4-2026-SM-4BOOW	GTEX-XUJ4-2026-SM-4BOOW	6.88	Colon
GTEX-ZPCL-0004-SM-4WWD6	GTEX-ZPCL-0004-SM-4WWD6	6.879	Blood
GTEX-11I78-1626-SM-5A5M2	GTEX-11I78-1626-SM-5A5M2	6.86	Esophagus
GTEX-ZEX8-1926-SM-4WKFR	GTEX-ZEX8-1926-SM-4WKFR	6.858	Colon
GTEX-ZPIC-0826-SM-4WWFJ	GTEX-ZPIC-0826-SM-4WWFJ	6.853	Heart
GTEX-XV7Q-2926-SM-4BRUL	GTEX-XV7Q-2926-SM-4BRUL	6.851	Muscle
GTEX-XBEW-1026-SM-4QARV	GTEX-XBEW-1026-SM-4QARV	6.849	Muscle
GTEX-ZVZP-0004-SM-51MS8	GTEX-ZVZP-0004-SM-51MS8	6.848	Blood
GTEX-11TT1-2126-SM-5GU5Y	GTEX-11TT1-2126-SM-5GU5Y	6.842	Breast
GTEX-146FH-1026-SM-5RQIF	GTEX-146FH-1026-SM-5RQIF	6.838	Heart
GTEX-YF7O-0008-SM-4W1ZS	GTEX-YF7O-0008-SM-4W1ZS	6.836	Skin
GTEX-WL46-0926-SM-3LK7T	GTEX-WL46-0926-SM-3LK7T	6.835	Heart
GTEX-SUCS-0326-SM-32PLL	GTEX-SUCS-0326-SM-32PLL	6.834	Heart
GTEX-V1D1-0008-SM-4JBIJ	GTEX-V1D1-0008-SM-4JBIJ	6.832	Skin
GTEX-ZVT2-0001-SM-57WCK	GTEX-ZVT2-0001-SM-57WCK	6.831	Blood
GTEX-13NYB-2726-SM-5J2MT	GTEX-13NYB-2726-SM-5J2MT	6.824	Muscle
GTEX-ZLWG-0004-SM-4WWD5	GTEX-ZLWG-0004-SM-4WWD5	6.811	Blood
GTEX-ZF2S-1026-SM-4WWB1	GTEX-ZF2S-1026-SM-4WWB1	6.81	Heart
GTEX-X585-0002-SM-46MVA	GTEX-X585-0002-SM-46MVA	6.805	Blood
GTEX-UPJH-0001-SM-3NMDE	GTEX-UPJH-0001-SM-3NMDE	6.8	Blood
GTEX-13NYB-1726-SM-5N9G2	GTEX-13NYB-1726-SM-5N9G2	6.799	Kidney
GTEX-SE5C-0626-SM-4IHLJ	GTEX-SE5C-0626-SM-4IHLJ	6.798	Heart
GTEX-146FQ-1926-SM-5NQBY	GTEX-146FQ-1926-SM-5NQBY	6.797	Colon
GTEX-OOBJ-0326-SM-5SI84	GTEX-OOBJ-0326-SM-5SI84	6.791	Heart
GTEX-13S86-1226-SM-5S2OA	GTEX-13S86-1226-SM-5S2OA	6.79	Breast
GTEX-PLZ6-0008-SM-48TD5	GTEX-PLZ6-0008-SM-48TD5	6.789	Skin
GTEX-QMRM-1226-SM-447C6	GTEX-QMRM-1226-SM-447C6	6.788	Colon
GTEX-S7PM-0008-SM-3NM9Q	GTEX-S7PM-0008-SM-3NM9Q	6.788	Skin
GTEX-R45C-0926-SM-3GAD4	GTEX-R45C-0926-SM-3GAD4	6.788	Heart
GTEX-ZV6S-0003-SM-4YCCT	GTEX-ZV6S-0003-SM-4YCCT	6.786	Blood
GTEX-1399Q-2426-SM-5J2MO	GTEX-1399Q-2426-SM-5J2MO	6.785	Muscle
GTEX-13NZB-0226-SM-5KM1T	GTEX-13NZB-0226-SM-5KM1T	6.784	Heart
GTEX-145LT-0926-SM-5LU9C	GTEX-145LT-0926-SM-5LU9C	6.781	Colon
GTEX-SNOS-1226-SM-4DM5H	GTEX-SNOS-1226-SM-4DM5H	6.781	Colon
GTEX-13O3O-1526-SM-5KM1C	GTEX-13O3O-1526-SM-5KM1C	6.78	Heart
GTEX-12ZZZ-1726-SM-59HK5	GTEX-12ZZZ-1726-SM-59HK5	6.778	Heart
GTEX-WWTW-0002-SM-4MVNH	GTEX-WWTW-0002-SM-4MVNH	6.775	Blood
GTEX-QVJO-0008-SM-447AU	GTEX-QVJO-0008-SM-447AU	6.773	Skin
GTEX-WHWD-0926-SM-4OORY	GTEX-WHWD-0926-SM-4OORY	6.769	Esophagus
GTEX-11TUW-1026-SM-5GU7D	GTEX-11TUW-1026-SM-5GU7D	6.768	Heart
GTEX-11TT1-1426-SM-5EGIA	GTEX-11TT1-1426-SM-5EGIA	6.766	Heart
GTEX-12BJ1-0003-SM-5SI6V	GTEX-12BJ1-0003-SM-5SI6V	6.764	Blood
GTEX-SNOS-0008-SM-4DM6I	GTEX-SNOS-0008-SM-4DM6I	6.764	Skin
GTEX-T5JW-0008-SM-4DM5X	GTEX-T5JW-0008-SM-4DM5X	6.762	Skin
GTEX-OXRL-0326-SM-2I3F2	GTEX-OXRL-0326-SM-2I3F2	6.762	Heart
GTEX-13X6H-1726-SM-5Q5EH	GTEX-13X6H-1726-SM-5Q5EH	6.762	Adipose Tissue
GTEX-UPIC-0002-SM-3NMDC	GTEX-UPIC-0002-SM-3NMDC	6.756	Blood
GTEX-1313W-0526-SM-5P9FZ	GTEX-1313W-0526-SM-5P9FZ	6.75	Muscle
GTEX-1339X-2726-SM-5PNYU	GTEX-1339X-2726-SM-5PNYU	6.748	Nerve
